brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
4265,for_sale,299000,,,0.22,1776992,Grapevine,Texas,76051,,
13493,for_sale,4700000,,,1.26,1299453,Dallas,Texas,75220,,
52406,for_sale,525000,,,0.21,770328,Grapevine,Texas,76051,,2020-10-15
33968,for_sale,339000,3,2,0.19,944610,Dallas,Texas,75220,1368,2002-09-20
71247,for_sale,544000,2,3,0.06,54083,Irving,Texas,75063,2435,2014-05-01
27968,for_sale,225000,3,1,0.28,799803,Farmers Branch,Texas,75234,979,1998-05-22
26871,for_sale,1099000,5,6,0.15,513644,Farmers Branch,Texas,75234,4413,
106117,for_sale,355000,3,3,0.18,1184457,Lewisville,Texas,75067,2039,2000-03-10
13676,for_sale,650000,4,3,0.37,1085022,Dallas,Texas,75229,2767,2019-08-19
109950,for_sale,650000,4,2,0.46,1108572,Dallas,Texas,75229,1891,2020-12-29
74748,for_sale,145000,1,1,7.53,1079264,Dallas,Texas,75234,961,
71247,for_sale,419000,3,2,0.25,1014926,Farmers Branch,Texas,75234,1758,2008-07-23
16829,for_sale,2499000,5,7,0.16,1166675,University Park,Texas,75225,5127,1992-07-29
21264,for_sale,599000,3,3,0.16,1215358,Dallas,Texas,75244,2243,1998-10-22
75208,for_sale,549900,3,2,0.25,1512934,Dallas,Texas,75214,1513,2021-11-15
69985,for_sale,1099000,4,3,0.29,1158525,Dallas,Texas,75244,3150,2021-03-29
76966,for_sale,825000,2,2,0.12,1245921,Dallas,Texas,75243,1960,2018-10-18
791,for_sale,849000,4,4,0.23,1341013,Dallas,Texas,75244,2567,1993-06-24
13676,for_sale,3390000,5,6,0.19,1601796,Dallas,Texas,75225,5748,2018-05-08
53465,for_sale,424959,,,0.52,411275,Lewisville,Texas,75067,,2018-06-19
23665,for_sale,2599000,5,8,0.44,1461159,Dallas,Texas,75225,6422,2013-06-25
22611,for_sale,115000,2,3,2.01,1040862,Dallas,Texas,75220,1154,
48804,for_sale,385000,4,3,0.19,776703,Dallas,Texas,75235,2337,2014-12-31
58460,for_sale,318900,5,2,0.15,1147416,Irving,Texas,75062,1724,1989-11-18
11310,for_sale,499000,4,2,0.28,233388,Dallas,Texas,75244,1789,1985-08-01
26201,for_sale,849999,4,3,0.54,1039438,Dallas,Texas,75229,2882,2007-08-08
1764,for_sale,15500000,9,13,1.44,1811554,Dallas,Texas,75220,16001,2016-03-02
15901,for_sale,317000,3,2,0.25,767444,Irving,Texas,75062,1337,2001-06-12
71247,for_sale,380000,4,2,0.24,1724311,Lewisville,Texas,75067,1688,2000-10-03
71247,for_sale,772000,5,3,0.28,875850,Flower Mound,Texas,75022,3241,2020-03-03
1764,for_sale,899000,4,5,0.34,1586980,Dallas,Texas,75230,3342,2018-01-12
13676,for_sale,8500000,4,6,1.47,847992,Dallas,Texas,75230,7973,2011-01-20
70677,for_sale,764900,4,3,0.18,875355,Grapevine,Texas,76051,2829,2004-07-26
23664,for_sale,2375000,3,3,4.36,872992,Flower Mound,Texas,75022,2318,
29034,for_sale,3995000,6,7,0.43,1237228,Dallas,Texas,75220,7300,
84534,for_sale,449995,2,1,0.19,1101643,Dallas,Texas,75220,1045,2017-05-15
102816,for_sale,300000,4,3,0.23,797127,Balch Springs,Texas,75180,1760,2003-09-17
107212,for_sale,385000,3,2,0.19,706185,Grapevine,Texas,76051,1880,2014-08-04
23657,for_sale,300000,3,2,0.11,644727,Lewisville,Texas,75067,1185,1997-04-29
33968,for_sale,400000,3,1,0.14,579998,Dallas,Texas,75212,816,2020-11-04
71247,for_sale,567000,3,2,0.17,1519631,Dallas,Texas,75214,1605,2016-12-27
31133,for_sale,770300,4,4,0.19,681347,Irving,Texas,75039,3911,
23665,for_sale,949000,5,5,0.39,658068,Irving,Texas,75063,4468,2016-09-22
22035,for_sale,374000,3,2,0.21,1003555,Dallas,Texas,75229,1538,2015-09-10
1764,for_sale,275000,3,2,0.48,879734,Irving,Texas,75062,1458,1996-07-22
86940,for_sale,240000,3,2,0.21,568339,Irving,Texas,75062,1104,2018-11-15
31140,for_sale,440000,3,2,0.33,1083614,Dallas,Texas,75229,2125,2000-10-30
31131,for_sale,450000,3,2,0.18,1000434,Flower Mound,Texas,75022,1914,1998-06-16
53465,for_sale,339900,3,2,0.19,464051,Lewisville,Texas,75067,1725,2014-06-04
26871,for_sale,479999,5,3,0.25,161533,Dallas,Texas,75229,2404,
23665,for_sale,850000,3,3,0.27,1457736,Dallas,Texas,75225,2723,
78465,for_sale,425000,3,3,0.12,492616,Lewisville,Texas,75067,2508,2005-05-26
436,for_sale,549900,4,4,0.17,767689,Irving,Texas,75063,3475,
53465,for_sale,475000,4,3,0.23,531430,Lewisville,Texas,75067,2297,2013-08-01
4265,for_sale,775000,4,4,0.16,720623,Dallas,Texas,75228,3727,2008-05-23
21523,for_sale,650000,4,4,0.17,1250428,Flower Mound,Texas,75022,3051,2017-04-13
1764,for_sale,899000,4,3,0.48,1603013,Dallas,Texas,75230,3028,1994-08-31
61144,for_sale,395000,3,2,0.27,740719,Grapevine,Texas,76051,1573,2018-12-26
22036,for_sale,432000,2,1,0.17,1203185,Dallas,Texas,75206,1113,
23665,for_sale,500000,3,4,0.03,937208,Dallas,Texas,75204,1947,2018-03-09
32042,for_sale,460000,3,3,,1545839,Irving,Texas,75039,2306,
33714,for_sale,225000,2,3,11.05,1442891,Dallas,Texas,75248,1514,
53465,for_sale,440000,4,3,0.13,1233510,Lewisville,Texas,75067,2596,2019-09-25
65812,for_sale,495000,3,2,0.33,,Dallas,Texas,75229,1992,2021-07-15
78465,for_sale,364900,3,3,0.11,487516,Lewisville,Texas,75067,1466,2013-10-23
13676,for_sale,2699500,5,6,0.42,1215873,Dallas,Texas,75220,6605,2004-04-21
31130,for_sale,1025000,3,3,0.18,1617629,Dallas,Texas,75225,3458,1995-05-30
1764,for_sale,900000,4,4,0.82,1112739,Dallas,Texas,75229,2809,
31140,for_sale,450000,2,2,0.05,396508,Dallas,Texas,75204,1308,2019-06-17
53157,for_sale,460000,3,2,0.26,1325846,Dallas,Texas,75224,1716,2018-02-15
13676,for_sale,599000,3,2,0.18,1385591,Dallas,Texas,75206,1520,2014-05-21
84534,for_sale,525000,3,4,0.06,1434253,Irving,Texas,75039,2050,2021-06-29
80927,for_sale,699900,4,2,0.25,1157674,Dallas,Texas,75244,2464,2012-03-15
1764,for_sale,995000,3,3,0.31,1811097,Dallas,Texas,75238,3118,2018-09-24
1764,for_sale,915000,3,2,0.26,1501373,Dallas,Texas,75214,3131,2016-01-04
86507,for_sale,1199900,5,4,0.21,1734863,Dallas,Texas,75238,3354,2014-10-16
73087,for_sale,355000,1,1,2.82,1061515,Dallas,Texas,75219,1277,2004-05-21
26869,for_sale,2899000,5,6,0.19,1024231,University Park,Texas,75225,4966,2016-03-10
23657,for_sale,799000,3,3,0.21,1550292,Dallas,Texas,75214,2206,2014-12-30
31130,for_sale,1525000,4,4,0.36,1442289,Dallas,Texas,75230,3226,2010-11-19
49871,for_sale,1250000,6,5,0.16,1203422,Dallas,Texas,75229,3723,
71247,for_sale,502000,4,3,0.2,1194807,Lewisville,Texas,75067,2624,2012-09-18
78465,for_sale,405000,4,2,0.16,1188078,Lewisville,Texas,75067,2358,2008-09-25
58765,for_sale,499900,3,2,0.23,1741944,Dallas,Texas,75243,2548,1982-12-01
1764,for_sale,6750000,5,8,0.62,1402056,Dallas,Texas,75220,8453,2001-06-08
48839,for_sale,260000,3,2,0.19,971923,Irving,Texas,75060,1210,
31137,for_sale,549000,3,2,0.11,1779586,Dallas,Texas,75220,2186,2003-12-31
33714,for_sale,514900,4,2,0.3,245932,Dallas,Texas,75244,2286,2020-02-18
51456,for_sale,790000,5,4,0.19,1763625,Irving,Texas,75063,4624,2021-04-14
80927,for_sale,425000,2,3,1.41,1735007,Dallas,Texas,75225,1288,2015-04-17
73960,for_sale,529000,3,2,0.27,234480,Grapevine,Texas,76051,1427,2018-11-12
22611,for_sale,1200000,4,4,0.24,1134639,Dallas,Texas,75220,3013,2015-10-29
31137,for_sale,675000,4,3,0.27,1291594,Dallas,Texas,75244,2496,2017-02-28
81645,for_sale,2150000,5,7,0.44,1494468,Dallas,Texas,75230,5250,1992-05-15
31137,for_sale,1699900,4,4,0.24,1116866,Dallas,Texas,75220,4216,
13676,for_sale,5000000,4,7,1.07,1214561,Dallas,Texas,75220,6066,1997-08-11
1764,for_sale,2145000,4,5,0.25,1160707,Dallas,Texas,75214,4482,2016-05-19
49871,for_sale,749000,3,3,0.08,743124,Dallas,Texas,75204,2478,
49153,for_sale,799000,3,2,0.12,254049,Farmers Branch,Texas,75234,2274,
50816,for_sale,389999,3,2,0.11,81537,Dallas,Texas,75230,2004,2005-06-27
53016,for_sale,284000,3,2,0.17,217584,Lewisville,Texas,75067,1382,1993-04-05
31134,for_sale,320000,3,1,0.19,1337267,Dallas,Texas,75218,1200,1979-08-01
15807,for_sale,599000,2,2,0.4,87470,Dallas,Texas,75229,1632,2018-07-02
71247,for_sale,331000,2,2,0.06,889313,Dallas,Texas,75287,1148,2021-04-01
71247,for_sale,467000,4,3,0.2,826578,Irving,Texas,75062,2909,2016-07-01
23665,for_sale,495000,3,2,0.38,1195643,Dallas,Texas,75229,1690,1997-11-06
78465,for_sale,950000,3,3,0.23,1607166,Dallas,Texas,75225,3569,1994-10-28
52874,for_sale,389000,3,2,0.16,546931,Lewisville,Texas,75067,1704,2013-07-16
65812,for_sale,327000,3,2,0.22,875230,Seagoville,Texas,75159,1682,
48780,for_sale,545000,3,4,15.22,1507412,Irving,Texas,75039,2652,2007-06-11
48832,for_sale,150000,,,0.39,1303306,Dallas,Texas,75212,,
74909,for_sale,845000,6,5,0.14,204218,Irving,Texas,75063,3832,2015-04-13
103237,for_sale,1500000,5,4,0.37,1237064,Dallas,Texas,75229,4198,1998-05-07
16829,for_sale,550000,3,2,0.28,1504002,Dallas,Texas,75218,1423,
53157,for_sale,1000000,5,4,0.25,1823447,Dallas,Texas,75218,3053,2019-03-19
13676,for_sale,995000,5,4,0.38,311589,Farmers Branch,Texas,75234,3656,2015-03-03
33968,for_sale,669999,4,4,0.13,260104,Irving,Texas,75063,2676,2018-05-31
23657,for_sale,1449000,4,4,0.25,1810302,Dallas,Texas,75238,3792,2008-05-16
10601,for_sale,1699000,5,6,0.51,1602158,Dallas,Texas,75254,4653,2001-04-06
78377,for_sale,1200000,4,4,0.16,1112925,Dallas,Texas,75220,3247,2006-11-15
31140,for_sale,1199999,2,3,0.08,1248233,Dallas,Texas,75219,2816,
48839,for_sale,995900,3,4,0.11,1371993,Dallas,Texas,75206,2962,2012-07-18
1764,for_sale,4200000,5,8,0.27,988658,University Park,Texas,75225,7520,2007-06-08
33745,for_sale,1800000,6,6,0.89,345128,Dallas,Texas,75254,4775,2002-08-07
23224,for_sale,473650,3,3,0.06,1553216,Lewisville,Texas,75067,1920,
4265,for_sale,2950000,2,3,4.36,872988,Flower Mound,Texas,75022,2498,
23224,for_sale,486990,3,3,0.07,1555317,Lewisville,Texas,75067,1903,
2152,for_sale,3995000,6,6,0.32,1526742,Dallas,Texas,75225,5856,2004-04-13
2152,for_sale,2895000,6,6,0.23,1551544,Dallas,Texas,75225,5293,2019-05-01
58458,for_sale,275000,2,2,0.1,860309,Farmers Branch,Texas,75234,1403,2015-07-21
58458,for_sale,290000,3,2,0.1,859975,Farmers Branch,Texas,75234,1403,2015-07-21
49663,for_sale,250000,3,2,11.05,1439712,Dallas,Texas,75248,1765,
53465,for_sale,325000,4,2,0.18,632150,Lewisville,Texas,75067,2164,2007-04-03
75465,for_sale,564900,4,2,0.29,897778,Flower Mound,Texas,75022,2467,2015-04-10
22611,for_sale,397000,4,2,0.18,678513,Lewisville,Texas,75067,2215,2004-11-04
26870,for_sale,865000,3,4,0.37,136125,Dallas,Texas,75229,2779,1986-06-16
1764,for_sale,5500000,6,8,0.54,846380,Dallas,Texas,75248,8280,2012-08-29
22036,for_sale,895000,5,4,0.24,925324,Flower Mound,Texas,75022,3842,2013-08-12
92853,for_sale,795000,4,3,0.23,771761,Irving,Texas,75063,3800,2000-11-08
26227,for_sale,475000,4,3,0.16,1058712,Irving,Texas,75062,2643,2016-09-15
4265,for_sale,799000,4,3,0.22,1752921,Dallas,Texas,75231,2741,1993-12-09
26910,for_sale,650000,2,2,0.22,145166,Dallas,Texas,75223,1629,2015-08-17
53016,for_sale,475000,4,2,0.15,1220830,Lewisville,Texas,75067,2304,2018-07-02
31134,for_sale,800000,4,4,0.07,1590452,Dallas,Texas,75223,2811,2019-06-10
46980,for_sale,399000,4,3,0.18,1175260,Lewisville,Texas,75067,2039,
99234,for_sale,1300000,3,3,0.39,1626233,Dallas,Texas,75230,3276,2009-04-01
25014,for_sale,1521000,4,4,0.18,1543879,Dallas,Texas,75214,4170,2009-10-02
13761,for_sale,1899000,4,4,0.16,1386804,Dallas,Texas,75206,4462,2017-06-14
86907,for_sale,525000,1,2,6.49,1088019,Dallas,Texas,75204,1305,
99280,for_sale,490000,2,1,0.19,1098145,Dallas,Texas,75220,1302,2003-07-29
33968,for_sale,130000,2,2,9.12,941349,Dallas,Texas,75220,969,1981-07-29
26869,for_sale,165000,2,3,10.4,83282,Dallas,Texas,75230,1709,2009-06-25
71247,for_sale,338000,2,2,0.18,852428,Irving,Texas,75062,1474,2004-08-02
25808,for_sale,240000,1,1,0.09,1178160,Grapevine,Texas,76051,530,2013-08-30
33968,for_sale,550000,3,3,0.12,538811,Dallas,Texas,75212,2350,2019-07-31
53465,for_sale,299900,3,3,0.17,1182259,Lewisville,Texas,75067,1755,2011-10-28
107598,for_sale,299990,3,2,0.24,796740,Irving,Texas,75062,1782,2005-03-11
26872,for_sale,274900,2,1,0.54,1221450,Dallas,Texas,75219,1084,2021-07-12
53342,for_sale,699900,3,4,0.05,899824,Dallas,Texas,75204,2056,2021-04-20
71247,for_sale,336000,3,2,0.2,310776,Farmers Branch,Texas,75234,1261,1997-08-20
22036,for_sale,600000,4,3,0.23,1766777,Dallas,Texas,75231,3012,
23665,for_sale,1395000,3,4,0.04,1024055,Dallas,Texas,75204,3595,2013-03-28
31137,for_sale,575000,4,3,0.2,1473095,Dallas,Texas,75248,2583,1996-04-18
33968,for_sale,575000,4,2,0.22,274581,Grapevine,Texas,76051,2234,
26869,for_sale,665000,4,4,0.21,1811045,Dallas,Texas,75231,3493,
102816,for_sale,550000,4,2,0.17,1214568,Dallas,Texas,75204,1910,
15901,for_sale,595900,4,3,0.18,855209,Grapevine,Texas,76051,2573,2005-05-04
13676,for_sale,895000,4,3,0.16,1457614,Dallas,Texas,75206,2858,
53157,for_sale,800000,4,3,0.32,431034,Dallas,Texas,75248,3654,2005-06-06
109987,for_sale,647000,5,5,0.12,1647308,Irving,Texas,75063,3414,2000-04-28
26872,for_sale,819900,3,3,0.21,743376,Dallas,Texas,75204,2836,
1764,for_sale,799000,4,5,0.33,1803575,Dallas,Texas,75231,3560,1987-03-06
22611,for_sale,505000,3,2,0.18,661276,Grapevine,Texas,76051,1966,2004-03-02
13676,for_sale,1595000,5,5,0.53,136879,Dallas,Texas,75230,3726,2017-04-10
81852,for_sale,1090000,4,4,0.58,1621740,Dallas,Texas,75230,2709,2004-11-22
22611,for_sale,275000,3,2,0.51,266882,Dallas,Texas,75253,1596,
12303,for_sale,270000,2,2,0.14,1093581,Dallas,Texas,75210,1158,
90308,for_sale,385000,4,2,0.14,1090680,Dallas,Texas,75212,1950,2020-11-04
23657,for_sale,499000,4,2,0.18,943865,Dallas,Texas,75220,2274,2018-05-22
22611,for_sale,430000,3,2,0.31,275313,Grapevine,Texas,76051,2118,2020-07-30
73087,for_sale,600000,3,3,0.11,1541553,Irving,Texas,75039,2691,2019-10-10
99234,for_sale,775999,3,3,0.17,1290951,Dallas,Texas,75246,2222,2007-07-31
67781,for_sale,595000,4,3,0.22,575924,Flower Mound,Texas,75022,2604,2019-04-30
80742,for_sale,1500000,4,4,0.38,163107,Dallas,Texas,75229,3298,
81884,for_sale,299900,2,1,0.21,153482,Grapevine,Texas,76051,883,2005-07-21
81645,for_sale,825000,3,7,0.26,383007,Addison,Texas,75254,3505,2000-09-06
77983,for_sale,609000,3,3,0.09,1227296,Irving,Texas,75063,3027,2007-01-24
45016,for_sale,875503,5,5,0.12,247659,Farmers Branch,Texas,75234,3416,
36298,for_sale,439900,2,2,0.1,787960,Lewisville,Texas,75067,2007,2010-06-25
31137,for_sale,1600000,5,4,0.39,1255866,Dallas,Texas,75229,3584,
78465,for_sale,527900,5,3,0.15,1820158,Lewisville,Texas,75067,2489,2022-02-01
31144,for_sale,425000,4,2,0.17,1648368,Lewisville,Texas,75067,1832,2008-07-01
13447,for_sale,3500000,,,4.18,353712,Dallas,Texas,75218,5733,
48786,for_sale,620000,3,4,0.04,1702522,Dallas,Texas,75231,2464,
24300,for_sale,849900,4,3,0.23,1600576,Dallas,Texas,75231,2438,2002-12-03
13676,for_sale,690000,2,1,0.16,1496813,Dallas,Texas,75214,1308,
26871,for_sale,1595000,3,4,0.17,1557996,Dallas,Texas,75230,4666,
13676,for_sale,1800000,4,4,0.2,1251969,Highland Park,Texas,75219,3612,2004-05-27
30938,for_sale,1600000,8,8,0.2,1359110,Dallas,Texas,75206,2849,
30938,for_sale,1395000,4,8,0.16,1124251,Dallas,Texas,75219,2632,
78465,for_sale,369900,3,2,0.21,156074,Grapevine,Texas,76051,1350,
92352,for_sale,549999,3,2,0.18,1095883,Dallas,Texas,75220,1296,2014-09-17
103237,for_sale,595000,4,3,0.29,372498,Farmers Branch,Texas,75234,2345,
29034,for_sale,849900,4,3,0.27,1062931,Dallas,Texas,75229,2939,2021-03-22
31134,for_sale,599900,4,3,0.26,1199162,Dallas,Texas,75244,2450,
23657,for_sale,1750000,5,5,0.58,1553759,Dallas,Texas,75254,5940,1998-02-26
26870,for_sale,625000,5,3,0.17,1553414,Dallas,Texas,75231,2453,2016-01-28
1764,for_sale,1200000,4,4,0.41,146784,Dallas,Texas,75230,3004,2013-03-22
103237,for_sale,2195000,3,5,0.57,1199377,Dallas,Texas,75220,4901,
46666,for_sale,1680000,5,6,0.17,1115702,Dallas,Texas,75220,4149,2010-06-25
48832,for_sale,290000,2,2,4.29,1455112,Dallas,Texas,75206,1359,2015-05-12
53525,for_sale,360000,2,2,0.16,1410934,Dallas,Texas,75206,1222,2007-05-14
106821,for_sale,202500,2,2,4.12,1433984,Dallas,Texas,75206,1000,2018-03-02
22036,for_sale,296000,2,2,3.85,1434120,Dallas,Texas,75206,1330,2017-11-14
86907,for_sale,149000,1,1,0.45,1411462,Dallas,Texas,75206,600,
33968,for_sale,640000,3,4,0.05,1299304,Dallas,Texas,75206,2122,
23657,for_sale,479000,2,2,0.96,1421482,Dallas,Texas,75206,1624,
13676,for_sale,1825000,3,4,3.91,1414893,Dallas,Texas,75206,4053,
99234,for_sale,675000,4,4,0.19,1398344,Dallas,Texas,75206,2099,2013-05-22
13676,for_sale,2235000,3,5,3.91,1414892,Dallas,Texas,75206,4475,
107598,for_sale,469500,2,3,0.18,1321141,Dallas,Texas,75206,1623,
23657,for_sale,614900,3,4,0.03,1303377,Dallas,Texas,75206,2231,
26872,for_sale,540000,2,3,0.16,1419924,Dallas,Texas,75206,1824,
1764,for_sale,2295000,5,6,0.17,828894,Dallas,Texas,75206,5184,2003-10-13
27982,for_sale,1295000,4,3,0.18,1388065,Dallas,Texas,75206,3723,2011-08-05
48539,for_sale,277490,4,2,0.15,1578690,Josephine,Texas,75189,1836,
48539,for_sale,279490,4,2,0.15,1572139,Josephine,Texas,75189,1875,
81392,for_sale,343440,,,7.63,1990810,Royse City,Texas,75189,,
48539,for_sale,249490,3,2,0.15,1580073,Josephine,Texas,75189,1450,
27030,for_sale,349566,3,2,0.11,976348,Royse City,Texas,75189,1821,
53157,for_sale,330785,3,3,0.16,998717,Royse City,Texas,75189,2123,
33714,for_sale,339900,3,2,0.5,76533,Fate,Texas,75189,1480,2017-01-23
31144,for_sale,499000,3,2,0.16,1061921,Flower Mound,Texas,75022,1993,2002-06-03
27968,for_sale,80000,1,1,8.07,1464305,Dallas,Texas,75231,623,
23665,for_sale,3199000,4,6,0.37,1488977,Dallas,Texas,75230,6553,2015-04-27
53342,for_sale,1100000,4,5,0.19,1631824,Dallas,Texas,75225,5312,
22036,for_sale,885000,3,2,0.37,1440861,Dallas,Texas,75230,2276,2011-05-31
104586,for_sale,235000,1,1,3.22,1012459,Irving,Texas,75039,740,2016-04-12
23665,for_sale,1195000,4,5,0.39,1232989,Dallas,Texas,75229,3228,2012-12-19
1764,for_sale,995000,4,5,0.13,1775883,Dallas,Texas,75220,3742,
53079,for_sale,1699000,4,5,0.15,1138093,Dallas,Texas,75225,5898,1989-09-09
13676,for_sale,825000,3,2,0.97,35001,Grapevine,Texas,76051,2365,2008-10-22
92786,for_sale,1999000,4,4,0.5,1377048,Dallas,Texas,75229,4484,2014-12-15
31144,for_sale,3899000,5,6,1.18,454593,Southlake,Texas,76092,6955,2013-07-22
3194,for_sale,875000,4,4,0.24,1015436,Grapevine,Texas,76051,3326,
86507,for_sale,2100000,5,6,0.21,1101906,Dallas,Texas,75220,5243,2019-07-12
73087,for_sale,199900,,,4.94,1567571,Quinlan,Texas,75189,,
71247,for_sale,390000,3,2,0.35,219689,Royse City,Texas,75189,1716,2018-09-13
63715,for_sale,365646,3,2,,997975,Royse City,Texas,75189,1833,
63722,for_sale,400794,4,3,0.14,1604195,Royse City,Texas,75189,2397,
71247,for_sale,425000,4,2,0.15,1029035,Fate,Texas,75189,1862,2020-05-29
63715,for_sale,373297,4,3,,996634,Royse City,Texas,75189,2059,
63715,for_sale,389305,4,3,,998612,Royse City,Texas,75189,2260,
63715,for_sale,376961,4,3,,998673,Royse City,Texas,75189,2059,
6851,for_sale,300000,3,2,7.55,1787805,Royse City,Texas,75189,1680,
103613,for_sale,364000,4,3,0.14,996421,Royse City,Texas,75189,2059,
45016,for_sale,357900,4,2,0.14,1475446,Royse City,Texas,75189,1866,
22036,for_sale,275000,3,2,0.16,1682703,Royse City,Texas,75189,1310,
48779,for_sale,890000,4,3,2.28,1696062,Royse City,Texas,75189,3795,2015-05-29
39703,for_sale,389000,3,2,0.2,1386105,Royse City,Texas,75189,1903,
53157,for_sale,350000,4,3,0.13,640176,Fate,Texas,75189,2060,
22036,for_sale,539000,4,3,0.17,1374294,Royse City,Texas,75189,3034,
43598,for_sale,399800,3,2,0.12,935414,Royse City,Texas,75189,1635,
27030,for_sale,417036,3,2,,978482,Royse City,Texas,75189,1643,
27030,for_sale,480300,3,2,,1177002,Royse City,Texas,75189,2244,
27030,for_sale,476824,4,3,,622392,Royse City,Texas,75189,2433,
99235,for_sale,575000,3,4,0.04,83746,Dallas,Texas,75212,2158,2019-06-18
52823,for_sale,245000,3,2,0.2,618985,Dallas,Texas,75212,1378,
11310,for_sale,330000,4,2,0.18,134403,Irving,Texas,75062,1784,2015-10-27
23665,for_sale,745000,3,2,0.23,1132727,Dallas,Texas,75220,1779,2020-07-15
37865,for_sale,599000,3,3,0.22,1215472,Dallas,Texas,75287,2631,2016-05-27
81884,for_sale,374900,3,2,0.14,710624,Grapevine,Texas,76051,1544,2014-02-04
31137,for_sale,695000,5,4,0.37,1241578,Dallas,Texas,75244,3401,
106366,for_sale,199900,1,1,,1654859,Dallas,Texas,75230,731,
23657,for_sale,725000,4,3,0.2,1796137,Dallas,Texas,75243,2573,2017-02-22
49871,for_sale,899000,4,3,0.25,1588938,Dallas,Texas,75231,2569,
35274,for_sale,450000,3,4,0.03,799991,Farmers Branch,Texas,75234,1937,
15807,for_sale,150000,3,1,0.13,855630,Dallas,Texas,75215,1106,
2640,for_sale,190000,3,1,0.13,875050,Dallas,Texas,75215,1200,
22611,for_sale,249000,2,1,0.75,134766,Dallas,Texas,75215,1081,2008-02-04
48625,for_sale,423640,3,3,0.14,878208,Dallas,Texas,75215,2232,2020-11-20
48786,for_sale,235000,3,2,0.26,1183801,Dallas,Texas,75216,1816,2003-02-27
26889,for_sale,200000,3,1,0.2,468424,Dallas,Texas,75216,1464,1987-04-15
13791,for_sale,135900,,,1.03,594642,Royse City,Texas,75189,,
45016,for_sale,429338,4,3,0.17,961267,Royse City,Texas,75189,3058,2021-10-19
63715,for_sale,372206,3,2,,1005098,Royse City,Texas,75189,1833,
63715,for_sale,375066,4,2,,1005020,Royse City,Texas,75189,1989,
48539,for_sale,261990,3,2,0.15,1687282,Josephine,Texas,75189,1614,
48539,for_sale,262990,3,2,0.15,1684228,Josephine,Texas,75189,1450,
48539,for_sale,278990,4,2,0.15,1691751,Josephine,Texas,75189,1733,
53525,for_sale,225000,,,2,1616734,Royse City,Texas,75189,,2019-11-15
63722,for_sale,408155,4,3,0.13,1459688,Royse City,Texas,75189,2651,
30632,for_sale,540000,,,21.52,1881757,Royse City,Texas,75189,,
63722,for_sale,418451,5,3,0.13,1003175,Royse City,Texas,75189,3050,
63722,for_sale,357129,4,2,0.13,1003554,Royse City,Texas,75189,1989,
45016,for_sale,468970,4,3,1.52,966044,Royse City,Texas,75189,2477,2021-10-13
63722,for_sale,378429,4,3,0.14,1615051,Royse City,Texas,75189,2397,
38147,for_sale,387947,4,2,0.13,777202,Royse City,Texas,75189,1977,
51456,for_sale,549900,4,3,0.2,124618,Dallas,Texas,75218,2287,
48658,for_sale,540000,4,3,0.25,102086,Dallas,Texas,75218,2319,2018-10-02
31132,for_sale,479900,3,2,0.21,1833356,Dallas,Texas,75218,1502,
12488,for_sale,530000,3,2,0.51,209097,Dallas,Texas,75218,1320,2021-12-15
1764,for_sale,1050000,4,4,0.17,1735526,Dallas,Texas,75218,3062,
58476,for_sale,1250000,4,4,0.09,1737321,Dallas,Texas,75218,2909,2006-06-28
97954,for_sale,1325000,5,4,0.2,64197,Dallas,Texas,75218,3400,
23665,for_sale,1699000,,,1.03,1703315,Dallas,Texas,75218,,2007-03-14
20851,for_sale,225000,2,2,6.61,1294126,Dallas,Texas,75219,961,2019-05-24
29034,for_sale,187000,2,2,4.25,1283707,Dallas,Texas,75219,890,
13761,for_sale,495000,2,3,0.46,1233831,Dallas,Texas,75219,1730,2017-12-29
97932,for_sale,165000,1,1,1.62,853218,Dallas,Texas,75219,702,
26872,for_sale,312000,2,2,0.55,1233805,Dallas,Texas,75219,1244,
1764,for_sale,249000,2,3,4.25,1283716,Dallas,Texas,75219,1143,2016-10-07
15901,for_sale,315000,2,2,0.88,858313,Dallas,Texas,75219,962,2006-11-15
23665,for_sale,199000,1,1,,1198375,Dallas,Texas,75219,741,
26871,for_sale,389000,2,3,2.55,857047,Dallas,Texas,75219,2010,2010-01-07
30159,for_sale,175000,1,1,0.93,1196119,Dallas,Texas,75219,648,2011-10-05
84534,for_sale,265000,1,1,0.38,1173442,Dallas,Texas,75219,778,2014-12-02
1764,for_sale,275000,2,2,0.41,1155710,Dallas,Texas,75219,1065,2018-05-22
25014,for_sale,339900,2,3,0.58,1124082,Dallas,Texas,75219,1101,1998-07-16
23665,for_sale,6995000,3,5,1.23,699716,Dallas,Texas,75219,4857,
26871,for_sale,299000,2,2,0.88,858314,Dallas,Texas,75219,962,2010-09-08
11310,for_sale,355000,2,2,0.37,1218391,Dallas,Texas,75219,1400,2019-05-09
13676,for_sale,385000,1,2,0.54,1221452,Dallas,Texas,75219,1231,2015-04-02
33968,for_sale,415000,2,3,0.33,1218134,Dallas,Texas,75219,1587,2020-02-04
12303,for_sale,270000,1,1,2.03,1234258,Dallas,Texas,75219,1015,2004-05-06
22611,for_sale,4200000,4,9,0.32,799058,Dallas,Texas,75219,8751,
23665,for_sale,329900,2,2,0.55,1173530,Dallas,Texas,75219,1244,
