brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
88188,for_sale,62000,,,1.88,849430,Orange,Texas,77632,,
1851,for_sale,21500,,,0.5,1412733,Orange,Texas,77632,,
88188,for_sale,58800,,,1,879433,Orange,Texas,77632,,
88188,for_sale,58800,,,1,885962,Orange,Texas,77632,,
88188,for_sale,58800,,,1,888946,Orange,Texas,77632,,
88188,for_sale,58800,,,1.01,840061,Orange,Texas,77632,,
88188,for_sale,58800,,,1.01,833013,Orange,Texas,77632,,
88188,for_sale,58800,,,1.05,857674,Orange,Texas,77632,,
88188,for_sale,88200,,,2.65,863469,Orange,Texas,77632,,
88188,for_sale,70000,,,1.7,908099,Orange,Texas,77632,,
88188,for_sale,88200,,,2.35,859148,Orange,Texas,77632,,
88188,for_sale,88200,,,2.11,828476,Orange,Texas,77632,,
88188,for_sale,88200,,,1.96,842683,Orange,Texas,77632,,
23859,for_sale,432000,,,30,1894328,Buna,Texas,77612,,
88188,for_sale,100000,,,1.87,910645,Orange,Texas,77632,,
88188,for_sale,100000,,,1.81,884732,Orange,Texas,77632,,
88188,for_sale,100000,,,1.79,888119,Orange,Texas,77632,,
88188,for_sale,71000,,,1.23,872854,Orange,Texas,77632,,
88188,for_sale,88200,,,2.03,836990,Orange,Texas,77632,,
88188,for_sale,100000,,,1.73,904648,Orange,Texas,77632,,
88188,for_sale,100000,,,1.75,899921,Orange,Texas,77632,,
88188,for_sale,100000,,,1.76,890808,Orange,Texas,77632,,
88188,for_sale,100000,,,1.74,896845,Orange,Texas,77632,,
4986,for_sale,125000,,,4.22,1026599,Buna,Texas,77612,,
48622,for_sale,45000,,,0.14,767355,Groves,Texas,77619,,
19102,for_sale,458300,4,4,3,997341,Buna,Texas,77612,3265,
1851,for_sale,173000,,,15.82,1213917,Bridge City,Texas,77611,,
1554,for_sale,27000,,,1.96,969896,Orange,Texas,77630,,
81575,for_sale,19900,,,0.92,843305,Vidor,Texas,77662,,
24645,for_sale,149995,,,27.26,1049137,Buna,Texas,77612,,
88084,for_sale,12900,,,0.35,1872641,Orange,Texas,77630,,
1554,for_sale,25000,,,0.61,1943980,Orange,Texas,77632,,
1554,for_sale,25000,,,0.49,1943979,Orange,Texas,77632,,
1554,for_sale,25000,,,0.54,1943981,Orange,Texas,77632,,
1554,for_sale,25000,,,0.49,1943982,Orange,Texas,77632,,
84346,for_sale,165000,,,3,1899246,Vidor,Texas,77662,,
81575,for_sale,329900,,,3,1991792,Orange,Texas,77630,,
81663,for_sale,199900,,,,1985416,Buna,Texas,77612,,
88131,for_sale,792000,,,44,471013,Orange,Texas,77630,,
81575,for_sale,58000,,,0.67,1111883,Orange,Texas,77630,,
78979,for_sale,199900,,,3.5,1985416,Buna,Texas,77612,,
15671,for_sale,1055970,,,1.36,797202,Orange,Texas,77630,,
51514,for_sale,60000,2,1,0.2,958327,Orange,Texas,77630,725,
51514,for_sale,60000,2,1,0.1,1362961,Orange,Texas,77630,725,
51514,for_sale,50000,2,1,0.11,1346059,Orange,Texas,77630,725,
81573,for_sale,79000,2,1,0.38,1163488,Kirbyville,Texas,75956,868,2013-09-17
24643,for_sale,125000,,1,0.22,1887170,Groves,Texas,77619,1500,
25887,for_sale,286990,4,2,,1099935,Bridge City,Texas,77611,1750,
53573,for_sale,280000,3,2,1.61,1635047,Orange,Texas,77632,2733,2009-06-16
48622,for_sale,224900,3,2,0.15,740920,Groves,Texas,77619,1565,
109950,for_sale,415000,4,4,3.2,1444328,Orange,Texas,77632,2911,2018-01-04
58922,for_sale,129900,2,2,1,969096,Bon Wier,Texas,75928,1100,2022-03-31
81575,for_sale,68900,,,6.14,1979044,Orange,Texas,77630,,
2762,for_sale,45000,,,5,1882248,Kirbyville,Texas,75956,,
22960,for_sale,27500,,,,1974943,Buna,Texas,77612,,
22960,for_sale,27500,,,,1866172,Buna,Texas,77612,,
84347,for_sale,27900,,,0.34,1941980,Orange,Texas,77632,,
22960,for_sale,29995,,,2.48,906358,Buna,Texas,77612,,
1851,for_sale,27500,,,0.43,1938916,Orange,Texas,77632,,
24643,for_sale,44900,,,,1835389,Orange,Texas,77632,,
81575,for_sale,33000,,,0.59,1953066,Bridge City,Texas,77611,,
51514,for_sale,165880,,,23.96,1866188,Buna,Texas,77612,,
96758,for_sale,65000,,,4,185147,Buna,Texas,77612,,
81575,for_sale,298000,,,8.52,1937638,Orange,Texas,77632,,
81575,for_sale,67900,,,,1979044,Orange,Texas,77630,,
1554,for_sale,42500,,,0.18,927387,Port Neches,Texas,77651,,
37235,for_sale,268740,,,,1881094,Buna,Texas,77612,,
37235,for_sale,115000,,,,1864727,Newton,Texas,75966,,
78911,for_sale,89500,,,0.23,1560501,Port Arthur,Texas,77642,,
81575,for_sale,1500000,,,,1882020,Orange,Texas,77632,,
78911,for_sale,269000,,,1.93,1892738,Mauriceville,Texas,77626,,
4982,for_sale,149900,3,2,,339210,Orange,Texas,77630,1914,
96758,for_sale,210000,4,4,0.06,535390,Orange,Texas,77630,3453,2011-03-09
53573,for_sale,89000,3,1,0.19,1167100,Orange,Texas,77630,1284,2018-03-14
51514,for_sale,60000,2,1,0.11,638914,Orange,Texas,77630,725,
72278,for_sale,365000,4,3,0.7,1394299,Orange,Texas,77630,2733,
78177,for_sale,100000,1,1,0.41,655357,Buna,Texas,77612,1160,
84346,for_sale,223500,4,3,0.32,796761,Orange,Texas,77630,2576,2010-01-05
27172,for_sale,39900,3,1,0.14,1080764,Orange,Texas,77630,1032,
1851,for_sale,169900,3,2,0.14,853440,Orange,Texas,77630,1847,
